Q-Table Values:
Format: [State] [Action] [Q-Value]
Date: 2025-05-13 22:28:57
[1,1] Up -Infinito
[1,1] Down -Infinito
[1,1] Left -Infinito
[1,1] Right 331,2148
[1,2] Up -Infinito
[1,2] Down -Infinito
[1,2] Left 1390,658
[1,2] Right 1032,215
[1,3] Up -Infinito
[1,3] Down 508,3207
[1,3] Left 1078,25
[1,3] Right 781,0109
[1,4] Up -Infinito
[1,4] Down -Infinito
[1,4] Left 1005,032
[1,4] Right -Infinito
[1,6] Up -Infinito
[1,6] Down -Infinito
[1,6] Left -Infinito
[1,6] Right 6,738721
[1,7] Up -Infinito
[1,7] Down 14,64143
[1,7] Left -0,6525998
[1,7] Right -0,3888999
[1,8] Up -Infinito
[1,8] Down -Infinito
[1,8] Left 7,203267
[1,8] Right -Infinito
[2,3] Up 1004,991
[2,3] Down 494,0348
[2,3] Left -Infinito
[2,3] Right -Infinito
[2,7] Up 2,626421
[2,7] Down 28,96029
[2,7] Left -Infinito
[2,7] Right -Infinito
[3,1] Up -Infinito
[3,1] Down 282,1139
[3,1] Left -Infinito
[3,1] Right 504,4612
[3,2] Up -Infinito
[3,2] Down -Infinito
[3,2] Left 267,3073
[3,2] Right 764,0653
[3,3] Up 896,6284
[3,3] Down -Infinito
[3,3] Left 396,4312
[3,3] Right 402,3688
[3,4] Up -Infinito
[3,4] Down -Infinito
[3,4] Left 604,0651
[3,4] Right 313,0079
[3,5] Up -Infinito
[3,5] Down 277,2879
[3,5] Left 510,0785
[3,5] Right -Infinito
[3,7] Up 7,439188
[3,7] Down -Infinito
[3,7] Left -Infinito
[3,7] Right 30,26096
[3,8] Up -Infinito
[3,8] Down 38,21912
[3,8] Left 15,32061
[3,8] Right -Infinito
[4,1] Up 389,0047
[4,1] Down 119,5018
[4,1] Left -Infinito
[4,1] Right -Infinito
[4,5] Up 318,9428
[4,5] Down 207,3392
[4,5] Left -Infinito
[4,5] Right -Infinito
[4,8] Up 16,25751
[4,8] Down 53,54889
[4,8] Left -Infinito
[4,8] Right -Infinito
[5,1] Up 225,9581
[5,1] Down 67,01239
[5,1] Left -Infinito
[5,1] Right -Infinito
[5,3] Up -Infinito
[5,3] Down 74,38273
[5,3] Left -Infinito
[5,3] Right 237,3145
[5,4] Up -Infinito
[5,4] Down -Infinito
[5,4] Left 64,70943
[5,4] Right 258,2717
[5,5] Up 342,6379
[5,5] Down -Infinito
[5,5] Left 102,4567
[5,5] Right 133,6089
[5,6] Up -Infinito
[5,6] Down 151,0399
[5,6] Left 242,0025
[5,6] Right -Infinito
[5,8] Up 27,82181
[5,8] Down 74,10388
[5,8] Left -Infinito
[5,8] Right -Infinito
[6,1] Up 159,9498
[6,1] Down 62,52309
[6,1] Left -Infinito
[6,1] Right -Infinito
[6,3] Up 158,3089
[6,3] Down 34,16347
[6,3] Left -Infinito
[6,3] Right -Infinito
[6,6] Up 135,4689
[6,6] Down 125,5719
[6,6] Left -Infinito
[6,6] Right -Infinito
[6,8] Up 51,06165
[6,8] Down 101,4616
[6,8] Left -Infinito
[6,8] Right -Infinito
[7,1] Up 167,7483
[7,1] Down -Infinito
[7,1] Left -Infinito
[7,1] Right 4,232931
[7,2] Up -Infinito
[7,2] Down -Infinito
[7,2] Left 76,32107
[7,2] Right 26,78144
[7,3] Up 127,5852
[7,3] Down -Infinito
[7,3] Left 13,04987
[7,3] Right -Infinito
[7,5] Up -Infinito
[7,5] Down -Infinito
[7,5] Left -Infinito
[7,5] Right 169,7264
[7,6] Up 123,8186
[7,6] Down -Infinito
[7,6] Left 101,6186
[7,6] Right 88,54091
[7,7] Up -Infinito
[7,7] Down -Infinito
[7,7] Left 154,1217
[7,7] Right 64,6968
[7,8] Up 73,45772
[7,8] Down -Infinito
[7,8] Left 144,5192
[7,8] Right -Infinito
